name,X,Y,Z,factor,weight,distance.Origin,angle.Factor,is.Factor,count,color,color1
zara,1.625777052,0.487352242,-0.172592027,Factor6,13.82674247,1.706004466,26.01046501,0,123,#f6ebcf,0xf6ebcf
prideofgypsies,-0.928270527,1.644040963,0.132817651,Factor2,13.28911772,1.892669382,33.57060247,0,153,#f6ebcf,0xf6ebcf
garyvee,0.645815418,-0.616284782,-0.229614905,Factor5,11.99632553,0.921741553,38.96213743,0,137,#f6ebcf,0xf6ebcf
kevinhart4real,1.245922669,-1.489359933,0.781305274,Factor5,13.98950762,2.093072917,13.32667948,0,314,#f6ebcf,0xf6ebcf
jayshetty,0.434636643,-0.387284347,0.226017813,Factor5,11.3243203,0.624485571,6.052752547,0,134,#f6ebcf,0xf6ebcf
people,-0.217845001,-0.918617117,0.215144904,Factor3,12.90433381,0.968298085,26.23801765,0,183,#f6ebcf,0xf6ebcf
vancityreynolds,-2.592246213,2.581063983,0.745607346,Factor2,16.7301713,3.733304438,17.59861988,0,379,#f6ebcf,0xf6ebcf
tylerjcameron3,-1.2205531,-1.396187159,0.096977269,Factor3,12.8372959,1.857011859,3.218230292,0,136,#f6ebcf,0xf6ebcf
drewbarrymore,-1.063162372,1.326592862,1.326054718,Factor2,14.38485153,2.156057506,19.2357668,0,217,#f6ebcf,0xf6ebcf
bonappetitmag,0.462858216,0.661060108,-0.206074023,Factor6,12.48257582,0.832889367,15.39022929,0,143,#f6ebcf,0xf6ebcf
nickjonas,-0.668673716,-0.141499772,0.770524873,Factor1,12.27355234,1.029978303,103.6098361,0,125,#f6ebcf,0xf6ebcf
milliebobbybrown,0.00609941,1.036574986,0.591919266,Factor2,12.47490465,1.193688955,49.74431329,0,136,#f6ebcf,0xf6ebcf
caradelevingne,1.110956838,1.052789903,0.430403379,Factor1,13.26926311,1.589917842,67.05997169,0,138,#f6ebcf,0xf6ebcf
barackobama,0.56239247,0.064980008,0.421723243,Factor5,13.9811731,0.705944888,38.44866102,0,469,#f6ebcf,0xf6ebcf
michelleobama,0.854153369,-0.464880991,1.358118413,Factor5,14.69797252,1.670382572,31.10107022,0,589,#f6ebcf,0xf6ebcf
zacefron,-1.341276445,1.085047261,0.667212817,Factor2,13.76595716,1.849735928,6.56128634,0,196,#f6ebcf,0xf6ebcf
robertdowneyjr,-2.009363746,2.219866938,0.93901803,Factor2,15.82086449,3.138009997,15.44808126,0,143,#f6ebcf,0xf6ebcf
stephencurry30,0.67737123,-1.098522835,0.240105784,Factor5,13.73908538,1.312720454,25.24559981,0,148,#f6ebcf,0xf6ebcf
leonardodicaprio,-0.324659632,1.273355894,0.399048924,Factor2,13.34892253,1.37334597,39.85350198,0,189,#f6ebcf,0xf6ebcf
davidbeckham,0.329074116,1.740522255,0.490135778,Factor2,12.86489438,1.837917456,62.86747434,0,183,#f6ebcf,0xf6ebcf
markwahlberg,-1.156468216,1.087980316,0.504650726,Factor2,14.10286999,1.666070905,11.90375659,0,144,#f6ebcf,0xf6ebcf
instadanjlevy,-0.698558104,1.338445624,0.327615649,Factor9,12.22664567,1.544911689,44.6158277,0,214,#f6ebcf,0xf6ebcf
chelseahandler,-0.395591776,0.825947659,0.607722061,Factor2,12.53340609,1.099094396,27.65338078,0,188,#f6ebcf,0xf6ebcf
chrishemsworth,-1.975716815,1.940759347,1.047401141,Factor2,15.70521673,2.960920959,11.00487123,0,197,#f6ebcf,0xf6ebcf
nasa,-0.035666429,1.342553236,-0.413870912,Factor6,13.18290817,1.405350638,49.27569158,0,257,#f6ebcf,0xf6ebcf
billieeilish,0.979953032,0.325779687,1.202816217,Factor1,13.19353437,1.585309813,46.98590509,0,225,#f6ebcf,0xf6ebcf
joebiden,0.038277036,0.566822472,0.466228708,Factor5,12.22596017,0.734929966,96.78612984,0,182,#f6ebcf,0xf6ebcf
arianagrande,1.644464131,-0.767977096,1.123940993,Factor1,15.60801366,2.134782063,12.45854294,0,291,#f6ebcf,0xf6ebcf
zendaya,1.288694573,-0.797138205,0.793265509,Factor1,12.9798022,1.710389777,9.127132186,0,160,#f6ebcf,0xf6ebcf
kendalljenner,2.196904813,-1.334311248,0.587615243,Factor1,17.76954357,2.636677633,7.633291768,0,435,#f6ebcf,0xf6ebcf
ddlovato,0.173713272,-1.777971661,1.297384148,Factor1,14.55163035,2.207841741,52.43221703,0,289,#f6ebcf,0xf6ebcf
katyperry,0.906611703,-0.393388829,1.391113041,Factor1,14.15321987,1.706427567,35.25590404,0,208,#f6ebcf,0xf6ebcf
shaunking,1.041224057,-0.628089932,0.112578468,Factor5,13.2276781,1.221195484,19.01144101,0,141,#f6ebcf,0xf6ebcf
badgalriri,2.763725113,-0.52628209,0.677497135,Factor1,14.27540846,2.893812659,16.87337724,0,298,#f6ebcf,0xf6ebcf
jlo,1.286185292,-0.696849557,1.046265798,Factor1,14.03992128,1.798483814,16.13377285,0,471,#f6ebcf,0xf6ebcf
thehughjackman,-1.85058153,1.872769719,0.993905351,Factor2,15.53675799,2.814207929,11.72547229,0,123,#f6ebcf,0xf6ebcf
emmawatson,-1.375994996,1.57993186,0.802072718,Factor2,13.95848634,2.243405349,14.68789465,0,223,#f6ebcf,0xf6ebcf
annakendrick47,-2.757153178,0.69862116,0.965072722,Factor2,15.00507077,3.003552984,19.36693314,0,215,#f6ebcf,0xf6ebcf
